Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee
0x6d05598cef5604e411c173dca930e31b6ac99fcdd948ddb49748dbd4842528da,Success,ERC-20,Transfer,22637983,2 hrs ago,0x628758f7a97eba5d83f21a4f11e2550976007706, Bithumb Routing Wallet #3,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"121,821.30","$6,274.65",Ultra Token(UOS),0.00009113
0x0bb3d2dc230100b9bc9260d226a75197675d4c6c375b25c51b891f21fb5dfea4,Success,ERC-20,Transfer,22635645,10 hrs ago,0xe7884EE779A07f7d9F444b43bCd70ff4F54df67d, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"29,228.41","$1,505.47",Ultra Token(UOS),0.00005451
0x27586180d84a34f92d9e8dc1be363ddc10a7b1a509c42f94a65de1abb3d69b97,Success,ERC-20,Transfer,22635635,10 hrs ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"19,871.78","$1,023.54",Ultra Token(UOS),0.00005786
0x07b81dbe87bb0fcbddcaa1b3a72d6b2f8653c0ae98e09163f64249d513427b06,Success,ERC-20,Transfer,22633253,18 hrs ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"25,453.23","$1,311.02",Ultra Token(UOS),0.00026431
0x9c82c8b09b0394021de1bef51578b50367dd0a108d2e89995f5accee020f98ff,Success,ERC-20,Transfer,22629667,30 hrs ago,0xdd83e1460fb4f50eab1fe50513374b3649c42f1a, Bithumb Treasury Routing Wallet #2,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"27,531.30","$1,418.05",Ultra Token(UOS),0.00006994
0xb68fc220537d843315d340e22f28951616be0dee5caa2c2cd44576ed542cd4be,Success,ERC-20,Transfer,22629665,30 hrs ago,0x628758f7a97eba5d83f21a4f11e2550976007706, Bithumb Routing Wallet #3,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"49,522.79","$2,550.77",Ultra Token(UOS),0.00007033
0x87b0c06ab5d222c410502fe1008a15e63271f65411bd2f109e2bb05e777b3b64,Success,ERC-20,Transfer,22628478,34 hrs ago,0xe7884EE779A07f7d9F444b43bCd70ff4F54df67d, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"66,588.47","$3,429.77",Ultra Token(UOS),0.00006093
0x6311b65703df389b547e0cc102d536e74aa07c6e863d350603fcb85bd9bcaa02,Success,ERC-20,Transfer,22628465,34 hrs ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"65,814.72","$3,389.92",Ultra Token(UOS),0.00006535
0x5d566e3cc48cb3a682630c7ebcb5970a535ba1a8f6ce4498468d9ab346725310,Success,ERC-20,Transfer,22624910,46 hrs ago,0xb4669b10d923c2d141f2eccf382bbe06ceedf82b, Bithumb Treasury Routing Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"115,854.35","$5,967.31",Ultra Token(UOS),0.00040477
0xe8094118bd606aeca0abe31d54d64926c9d48bb12fa33a7b953149a10122a9d5,Success,ERC-20,Transfer,22624903,46 hrs ago,0x5bc838154d7FF270127c1e1b9c53e9111033Fa0B, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"75,184.69","$3,872.54",Ultra Token(UOS),0.0004151
